,state,lga_name,locality_name,lc1_1,rm2b,inf1a_1,inf1a_2,inf1a_3,inf1a_4,inf1a_5
0,ABIA,UMUAHIA SOUTH,UMUORAM OHIYA,no,,no,no,no,no,no
1,ABIA,OBI NGWA,OWOAHIAFOR,no,,no,no,no,no,no
2,ABIA,UMU-NNEOCHI,AMAKPOKE,no,,no,no,no,no,no
3,ABIA,OBI NGWA,OWOAHIAFOR,no,,no,no,no,no,no
4,ABIA,OHAFIA,UKWA NKPORO,no,,no,no,no,no,no
5,ABIA,UMU-NNEOCHI,AMAKPOKE,no,,no,no,no,no,no
6,ABIA,UKWA EAST,AKIRIKA UKU,no,,no,no,no,no,no
7,ABIA,OBI NGWA,OWOAHIAFOR,no,,no,no,no,no,no
8,ABIA,UGWUNAGHO,AMAUZU,no,,no,no,no,no,no
9,ABIA,AROCHUKWU,EZIAMA,no,,no,no,no,no,no
10,ABIA,ISUIKWUATO,MGBELU UMUNNEKWU,no,,no,no,no,no,no
11,ABIA,BENDE,OKOPEDI,no,no,no,no,no,no,no
12,ABIA,UKWA EAST,AKIRIKA UKU,no,,no,no,no,no,no
13,ABIA,ISIALA-NGWA SOUTH,AMUOHA ISIEKETA,no,,no,no,no,no,no
14,ABIA,UMUAHIA NORTH,UMUAGU,no,,no,no,no,no,no
15,ABIA,UKWA WEST,UMUAGALABA,no,,no,no,no,no,no
16,ABIA,BENDE,AMAKWU,no,,no,no,no,no,no
17,ABIA,UMUAHIA NORTH,UMUAGU,no,,no,no,no,no,no
18,ABIA,UMU-NNEOCHI,UMUEHIHE,no,,no,no,no,no,no
19,ABIA,BENDE,AMAKWU,no,,no,no,no,no,no
20,ABIA,UKWA EAST,AKIRIKA UKU,no,,no,no,no,no,no
21,ABIA,UKWA EAST,OHANDU,no,,no,no,no,no,no
22,ABIA,UKWA EAST,AKIRIKA UKU,no,,no,no,no,no,no
23,ABIA,BENDE,AMAKWU,no,,no,no,no,no,no
24,ABIA,UMU-NNEOCHI,UMUEHIHE,no,,no,no,no,no,no
